restaurant,calories,cal_fat,total_fat,sat_fat,trans_fat,cholesterol,sodium,total_carb,fiber,sugar,protein,vit_a,vit_c,calcium
2,390,70,7,1,0,10,800,56,8,8,23,15,20,35
2,780,140,14,2,0,20,1600,112,16,16,46,30,20,70
2,300,80,9,3,0,60,1120,26,3,22,25,40,40,15
2,150,70,8,4,0,20,420,10,4,5,10,50,50,6
2,400,300,29,11,0,85,1250,12,4,4,23,25,70,10
2,330,140,16,8,1,85,1080,17,5,6,32,60,50,25
2,110,25,3,1,0,20,590,11,4,6,12,25,45,4
2,360,230,26,4,0,60,1100,13,4,6,20,50,60,8
2,280,110,12,4.5,0,65,1320,11,4,5,28,50,50,15
2,150,30,4,0,0,45,680,8,3,3,19,40,40,6
2,510,340,38,12,1,100,1040,14,4,7,30,60,60,30
2,180,95,11,4,0,45,820,12,4,5,12,50,50,10
2,220,35,5,1.5,0,100,490,10,4,4,36,50,60,8
2,230,135,15,6,0,45,1060,12,4,6,14,50,50,6
2,230,140,15,5,0,45,1060,13,4,8,14,40,60,4
2,310,150,17,7,1,30,720,25,6,10,16,60,70,10
2,140,25,3,0.5,0,50,280,10,4,4,19,50,60,8
2,140,30,4,1,0,40,450,10,4,5,18,25,45,4
2,310,205,23,9,1,50,1280,11,4,6,15,50,50,8
2,210,75,8,4,0,50,830,14,4,6,20,50,50,15
2,140,30,4,1,0,40,640,11,4,5,17,25,45,6
2,200,85,10,5,0,45,910,13,4,6,18,50,50,15
2,200,25,3,1,0,50,660,24,4,16,20,25,50,6
2,310,215,24,4,0,40,370,10,4,4,15,50,50,6
2,110,20,3,1,0,25,580,11,4,5,12,25,45,6
2,110,20,2,1,0,20,570,11,4,5,12,25,45,6
2,50,10,1,0,0,0,65,9,4,4,3,25,45,4
2,760,330,37,12,1,100,2250,65,4,7,43,15,45,30
2,730,310,34,10,0.5,135,1900,53,3,4,55,15,8,45
2,810,380,42,13,0.5,75,2970,62,3,6,43,10,30,30
2,740,230,25,11,0,50,1270,100,5,9,36,35,30,60
2,680,200,22,9,0,40,1070,96,4,7,32,25,4,45
2,790,290,32,13,0,60,1350,96,4,8,38,30,4,60
2,820,310,34,14,0,70,1420,97,4,8,39,30,4,60
